,a1,a2,b,c,c1,c2,c3,c4
D,-181,-519,-4380,2240,2750,3600,113,606
,-35500,-176000,22400,-20900,6170,4040,-14.7,659
,229000,-101000,-31600,1500,15000,2080,7790,543
,-405,3870,-4620,-10600,3790,2760,182,569
,4220,-9040,-24000000,10800,3170,2750,20,620
,-2380,-11100,8170,2460,-3200,5710,7510,638
,58800,-68700,-60100,11000,7730,4140,22.4,647
,-159000,-44100,-56900000,-157000,5270,3640,2170,549
,71700,81300,-44600,4780,-9670,33900,259000,235
,-309,2360,105,810,3760,3190,476,600
Ds,-17100,-3790,-26900,5360,-480,2340,1480,653
,-10200,-9730,6630,10500,4190,3980,57.7,665
,-7250,2620,1400,-1270,2760,5700,5160,701
,47700,-211000,-24000,5830,-82.9,1500,878,754
,25900,39700,-16600,656,3270,2090,79.6,555
,716,-5330,2650,73.9,3940,3640,8.45,641
,704,917,727,697,3880,3010,534,613
,2310,7180,-3040,665,11800,3310,16800,716
,1320000,1700000,-869000,-1480,1640,1380,-1360,795
,-2780000,-3010000,1490000,-1960000,7870,3330,-3140,750
B,-71000,87600,50100,1790,138000,41200,19400,179
,2040,405,523,1540,-442,5580,122,370
,-792,3670,-351,5460,10900,5050,95.4,273
,-7360,1130,-3460,1290,9440,2890,10.8,348
,-569,176,662,-1330,-3090,4350,53.1,364
,990,-2250,980,-1300,819,2730,30,415
,8360,10600,3950,1490,12900,4090,42.1,325
,478,148,270,309,-976,2290,10.6,376
,-10500,12800,-24800,842,2740,4100,19.3,315
,678,-8010,-10500,7610,-13800,6610,138,404
Bs,4390,-3740,-1370,983,-1200,4660,36.9,740
,-9260,-7920,1560,-169,3.35,3060,16.8,272
,-1940,1910,-632,0.2,1,4180,26.7,537
,-965,962,254,0.2,1,3420,0.227,284
,-1420,-4410,-379,3150,-2480,4590,55.8,733
,87400,11700,7630,1960,-90100,79800,124000,120
,-41.8,183,1.17,0.712,1.26,2760,6.08,292
,116,-1360,116,0.2,117,2760,52.7,322
,-138,-166,-294,-270,-385,4060,74.5,430
,-380,-743,-576,-983,-19.9,2200,173,359
